Year,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Electors,Position,Sex,Party,Votes,Candidate,Margin_Percentage
2018,155,DASARAHALLI,49.48,43.48,437130,1,Male,JD(S),94044,R.MANJUNATHA,4.94
2018,156,MAHALAKSHMI LAYOUT,55.72,55.18,286923,1,Male,JD(S),88218,K. GOPALAIAH,25.71
2018,157,MALLESHWARAM,57.91,67.22,213537,1,Male,BJP,83130,DR. ASHWATH NARAYAN.C.N.,43.67
2018,158,HEBBAL,58.01,50.76,252885,1,Male,INC,74453,SURESH B S,14.41
2018,159,PULAKESHINAGAR,54.52,77.18,231913,1,Male,INC,97574,R. AKHANDA SRINIVASAMURTHY,64.56
2018,160,SARVAGNANAGAR,53.25,61.74,334473,1,Male,INC,109955,K.J GEORGE,29.93
2018,161,C.V. RAMAN NAGAR,50.66,44.61,260559,1,Male,BJP,58887,S. RAGHU,9.26
2018,162,SHIVAJINAGAR,56.67,55.04,191528,1,Male,INC,59742,R ROSHAN BAIG,13.86
2018,163,SHANTI NAGAR,55.57,49.42,218510,1,Male,INC,60009,N A HARIS,14.99
2018,164,GANDHI NAGAR,56.81,37.34,223259,1,Male,INC,47354,DINESH GUNDU RAO,7.94
2018,165,RAJAJI NAGAR,57.84,46.86,207622,1,Male,BJP,56271,S SURESH KUMAR,7.87
2018,166,GOVINDRAJ NAGAR,54.55,50.33,288251,1,Male,BJP,79135,V SOMANNA,7.23
2018,167,VIJAY NAGAR,51.21,46.9,305392,1,Male,INC,73353,M. KRISHNAPPA,1.77
2018,168,CHAMRAJPET,55.42,54.35,216900,1,Male,INC,65339,B.Z. ZAMEER AHMED KHAN,27.57
2018,169,CHICKPET,59.45,44.46,216838,1,Male,BJP,57312,UDAY B.GARUDACHAR,6.15
2018,170,BASAVANAGUDI,54.5,58.46,238617,1,Male,BJP,76018,RAVISUBRAMANYA.L.A,29.23
2018,171,PADMANABA NAGAR,60.33,48.18,267869,1,Male,BJP,77868,R ASHOKA,19.9
2018,172,B.T.M LAYOUT,51.52,49.35,263860,1,Male,INC,67085,RAMALINGA REDDY,15.06
